Column,Mean,Std_Dev,RSD,Median,Max,Min
154,0.0069,0.0348,505.48,0.0,1.0,0.0
157,0.0047,0.0347,732.4,0.0,1.0,0.0
329,0.01,0.0344,344.72,0.0009,1.0,0.0
340,0.0064,0.0343,538.4,0.0001,1.0,0.0
378,0.0058,0.0342,588.44,0.0,1.0,0.0
164,0.0045,0.034,764.39,0.0,1.0,0.0
258,0.01,0.0338,339.37,0.0008,1.0,0.0
259,0.01,0.0335,334.8,0.0008,1.0,0.0
354,0.0062,0.0335,536.66,0.0001,1.0,0.0
153,0.0071,0.0335,469.43,0.0001,1.0,0.0
163,0.0049,0.0334,681.13,0.0,0.9999999999999999,0.0
379,0.0055,0.0333,603.35,0.0,1.0,0.0
345,0.007,0.0331,476.94,0.0003,1.0,0.0
168,0.0079,0.0329,417.46,0.0006,1.0,0.0
270,0.0041,0.0329,804.81,0.0,1.0,0.0
347,0.0061,0.0327,540.19,0.0,1.0,0.0
156,0.0053,0.0326,619.77,0.0,1.0,0.0
257,0.0095,0.0323,339.15,0.0009,1.0,0.0
187,0.0033,0.0321,978.03,0.0,1.0,0.0
359,0.0037,0.0321,856.86,0.0,1.0,0.0
349,0.005,0.032,644.84,0.0,1.0,0.0
117,0.0041,0.0319,782.52,0.0,0.9999999999999999,0.0
151,0.0035,0.0319,909.68,0.0,1.0,0.0
353,0.0062,0.0318,511.71,0.0002,1.0,0.0
375,0.0033,0.0316,965.15,0.0,1.0,0.0
275,0.0045,0.0316,699.37,0.0,1.0,0.0
184,0.0071,0.0313,442.48,0.0004,1.0,0.0
267,0.0067,0.0312,467.27,0.0001,1.0,0.0
336,0.0067,0.0311,464.09,0.0007,1.0,0.0
94,0.0044,0.0311,713.46,0.0,1.0,0.0
186,0.0031,0.031,1002.7,0.0,1.0,0.0
380,0.0042,0.0309,736.95,0.0,1.0,0.0
112,0.008,0.0308,384.85,0.0004,0.9999999999999999,0.0
265,0.008,0.0308,385.93,0.0005,0.9999999999999999,0.0
150,0.0035,0.0304,862.15,0.0,1.0,0.0
360,0.0072,0.0303,422.53,0.0007,1.0,0.0
280,0.0066,0.0302,459.18,0.0006,1.0,0.0
321,0.0078,0.0302,386.38,0.0007,1.0,0.0
189,0.0022,0.0301,1354.83,0.0,1.0,0.0
335,0.0037,0.0301,815.26,0.0,1.0,0.0
148,0.0059,0.0301,514.07,0.0,1.0,0.0
79,0.0046,0.03,652.08,0.0,1.0,0.0
126,0.0022,0.03,1390.36,0.0,0.9999999999999999,0.0
324,0.0084,0.0299,354.38,0.0007,1.0,0.0
179,0.0035,0.0299,846.45,0.0,1.0,0.0
312,0.0084,0.0296,350.68,0.0005,1.0,0.0
149,0.0047,0.0294,624.5,0.0,0.9999999999999999,0.0
363,0.0047,0.0293,624.15,0.0,1.0,0.0
176,0.0053,0.0292,546.29,0.0002,0.9999999999999999,0.0
382,0.0031,0.0292,927.93,0.0,1.0,0.0
373,0.0042,0.0292,701.83,0.0,1.0,0.0
277,0.0031,0.0291,948.01,0.0,1.0,0.0
95,0.0035,0.029,838.16,0.0,1.0,0.0
118,0.0027,0.0287,1058.32,0.0,1.0,0.0
357,0.0037,0.0287,780.04,0.0,1.0,0.0
344,0.006,0.0284,471.4,0.0006,1.0,0.0
274,0.0046,0.0284,619.43,0.0,1.0,0.0
361,0.0054,0.0283,520.22,0.0001,0.9999999999999999,0.0
185,0.0035,0.0283,815.33,0.0,1.0,0.0
287,0.0019,0.0282,1464.75,0.0,1.0,0.0
381,0.0033,0.0274,823.29,0.0,0.9999999999999999,0.0
281,0.004,0.0273,682.94,0.0,1.0,0.0
110,0.0028,0.0273,973.68,0.0,1.0,0.0
383,0.0022,0.0273,1217.27,0.0,1.0,0.0
288,0.0053,0.0272,508.24,0.0006,1.0,0.0
328,0.0061,0.0272,443.2,0.0006,1.0,0.0
337,0.0067,0.0271,401.97,0.0004,1.0,0.0
296,0.005,0.0271,540.28,0.0004,1.0,0.0
298,0.0026,0.0271,1033.32,0.0,0.9999999999999999,0.0
351,0.0026,0.0265,998.12,0.0,1.0,0.0
350,0.0033,0.0264,797.11,0.0,1.0,0.0
128,0.0061,0.0262,431.77,0.0004,1.0,0.0
364,0.0036,0.0261,731.02,0.0,1.0,0.0
367,0.0027,0.026,966.75,0.0,1.0,0.0
278,0.0023,0.026,1142.9,0.0,1.0,0.0
358,0.0036,0.0259,714.09,0.0,1.0,0.0
339,0.0054,0.0255,471.77,0.0001,1.0,0.0
343,0.0029,0.0255,870.54,0.0,1.0,0.0
356,0.0038,0.0254,671.13,0.0,1.0,0.0
372,0.0033,0.0249,743.8,0.0,1.0,0.0
264,0.0066,0.0249,379.36,0.0007,1.0,0.0
180,0.0023,0.0248,1080.51,0.0,1.0,0.0
127,0.0014,0.0247,1772.72,0.0,1.0,0.0
341,0.0038,0.0244,648.31,0.0,1.0,0.0
301,0.0015,0.0242,1614.51,0.0,1.0,0.0
271,0.0024,0.024,990.85,0.0,1.0,0.0
352,0.0052,0.0236,456.96,0.0006,1.0,0.0
181,0.0017,0.0235,1405.1,0.0,0.9999999999999999,0.0
320,0.0053,0.0234,441.1,0.0003,1.0,0.0
175,0.0019,0.0234,1243.11,0.0,0.9999999999999999,0.0
158,0.0023,0.0233,994.03,0.0,1.0,0.0
289,0.0028,0.0233,822.6,0.0,1.0,0.0
165,0.0025,0.0232,941.79,0.0,1.0,0.0
174,0.0018,0.023,1311.1,0.0,1.0,0.0
102,0.0029,0.0229,792.29,0.0,1.0,0.0
365,0.0031,0.0229,734.88,0.0,1.0,0.0
307,0.0014,0.0228,1685.81,0.0,1.0,0.0
290,0.0024,0.0225,929.47,0.0,1.0,0.0
166,0.0018,0.0224,1209.39,0.0,1.0,0.0
348,0.0033,0.0222,675.26,0.0,0.9999999999999999,0.0
306,0.0014,0.0222,1541.92,0.0,1.0,0.0
